lambda,P1,P2,P3,R,RMSE
22.5,-3.19159017e-09,1.77982999e-06,-5.49342607e-05,0.96,9.12119600e-06
23.5,-1.75266637e-09,9.77475268e-07,-2.67796958e-05,0.96,5.01372608e-06
24.5,-2.43810818e-09,1.36192347e-06,-4.57043670e-05,0.96,6.97290978e-06
25.5,-3.98387625e-09,2.22551933e-06,-7.70072803e-05,0.96,1.13958300e-05
26.5,-2.00773403e-09,1.12849376e-06,-5.67602506e-05,0.96,5.77108499e-06
27.5,-1.19730867e-09,5.65394676e-07,-5.85964757e-06,0.94,3.19981683e-06
28.5,-1.46295195e-09,1.01404261e-06,-3.58365291e-05,0.93,8.68678105e-06
29.5,-8.15084563e-10,4.34467210e-07,3.65433670e-06,0.93,3.03848274e-06
30.5,-7.05077152e-09,4.04741769e-06,1.43586031e-04,0.94,2.75155631e-05
31.5,-7.77266741e-10,4.68802536e-07,1.08074811e-05,0.93,3.64885891e-06
32.5,-5.61602010e-10,2.83431306e-07,-3.27491491e-06,0.92,2.03502960e-06
33.5,6.11880133e-10,6.52060422e-07,-2.90103367e-05,0.91,1.14428500e-05
34.5,-2.13887412e-09,9.00810935e-07,-1.41575668e-05,0.93,5.08999204e-06
35.5,-2.29655541e-09,1.06445240e-06,-3.23960927e-05,0.94,6.31089521e-06
36.5,-1.69356060e-09,1.14642019e-06,-1.49427472e-05,0.93,9.15296502e-06
37.5,-4.44754965e-10,2.24144087e-07,2.29852502e-06,0.94,1.39955751e-06
38.5,-2.57264554e-10,1.20451838e-07,1.08315857e-07,0.95,6.47189724e-07
39.5,-1.90799471e-10,8.54129718e-08,-3.66570920e-07,0.95,4.29404481e-07
40.5,-1.63110170e-10,7.67917532e-08,2.48479107e-06,0.94,4.43317217e-07
41.5,-2.64676272e-10,1.61050402e-07,-5.64014188e-06,0.94,1.09306430e-06
42.5,-8.80727378e-11,5.09406819e-08,1.64104876e-06,0.94,3.40898878e-07
43.5,-1.29810569e-11,3.70763160e-08,8.20072441e-06,0.82,7.51972352e-07
44.5,-1.92736419e-10,9.35286333e-08,2.78944317e-08,0.95,5.03560346e-07
45.5,-1.07354187e-10,5.33853880e-08,3.23226206e-06,0.94,3.25167635e-07
46.5,7.14925370e-11,2.28505089e-08,1.60620921e-05,0.85,7.85818717e-07
47.5,-1.65354143e-10,7.61012429e-08,3.10560608e-06,0.95,3.96736808e-07
48.5,-3.12973348e-10,1.39150026e-07,3.17305408e-06,0.95,6.77782659e-07
49.5,-8.48676578e-10,3.82780831e-07,-8.99955570e-06,0.95,1.84750385e-06
50.5,-6.92148698e-10,3.05273387e-07,-2.21022224e-06,0.95,1.42588987e-06
51.5,-3.52451773e-10,1.49567940e-07,-2.77810793e-06,0.95,6.67205223e-07
52.5,-4.88285423e-10,2.06597500e-07,-5.71616451e-06,0.95,9.23676788e-07
53.5,-1.51950475e-10,6.22135728e-08,4.00946070e-06,0.92,3.69972956e-07
54.5,-1.47270077e-10,5.88009296e-08,1.18884773e-06,0.95,2.61720547e-07
55.5,-2.67639507e-10,9.72464276e-08,2.22162082e-05,0.63,1.37799232e-06
56.5,-1.01960607e-10,4.67610258e-08,3.41494514e-06,0.93,2.80937628e-07
57.5,-1.61974440e-10,6.72143036e-08,1.17127082e-06,0.95,3.07827728e-07
58.5,-1.01763203e-09,4.54759489e-07,1.65241671e-05,0.91,3.09599754e-06
59.5,-1.56307209e-10,6.36007172e-08,3.86630485e-06,0.92,3.58530411e-07
60.5,-6.00806861e-10,2.63372194e-07,5.64617215e-07,0.94,1.45080898e-06
61.5,-6.04959878e-10,2.45041951e-07,-1.62883930e-06,0.94,1.21428067e-06
62.5,-6.49554222e-10,2.79301792e-07,1.91126658e-05,0.89,2.08911118e-06
63.5,-4.82850036e-10,1.71382019e-07,2.02470800e-05,0.75,1.67842699e-06
64.5,-1.06653492e-10,4.22914685e-08,1.50553273e-06,0.94,2.03369385e-07
65.5,-8.18714565e-11,3.40516816e-08,1.66550540e-06,0.94,1.76539694e-07
66.5,-9.90389288e-11,4.04518744e-08,1.56394010e-06,0.94,1.96591466e-07
67.5,-9.41472141e-11,3.78395774e-08,8.82049866e-07,0.94,1.80481835e-07
68.5,-8.29145674e-11,3.45290364e-08,5.19960242e-06,0.82,3.44043640e-07
69.5,-1.37956080e-10,5.60239688e-08,1.65024766e-06,0.94,2.65869617e-07
70.5,-1.01440668e-10,4.37751602e-08,9.44754103e-06,0.79,4.90083335e-07
71.5,-8.82187053e-11,3.44490090e-08,2.44945919e-06,0.92,1.89763276e-07
72.5,-1.38052514e-10,5.94292750e-08,4.19292916e-07,0.95,2.87817244e-07
73.5,-4.91176916e-11,2.32864269e-08,1.44437460e-06,0.94,1.39806401e-07
74.5,-6.46953103e-11,2.83325477e-08,2.59377737e-06,0.93,1.66218244e-07
75.5,-7.34309741e-11,3.29461087e-08,4.00460892e-06,0.90,2.45820894e-07
76.5,-3.05657856e-11,2.93068006e-08,1.40723930e-05,0.74,6.32637967e-07
77.5,5.43557600e-11,2.19484499e-08,1.18134495e-05,0.89,5.64382540e-07
78.5,-8.51779066e-11,5.79401798e-08,1.63692915e-05,0.82,8.43951888e-07
79.5,-2.21722606e-10,8.88851417e-08,8.27783879e-06,0.89,6.07167204e-07
80.5,-1.65576278e-10,7.79627572e-08,5.66367756e-06,0.94,4.44114376e-07
81.5,-1.92487027e-10,8.70304770e-08,5.81788594e-06,0.93,5.12896384e-07
82.5,-2.51845067e-10,1.14456368e-07,6.30086163e-06,0.94,6.49515749e-07
83.5,-4.38140196e-10,1.97591643e-07,1.99037756e-05,0.90,1.48395770e-06
84.5,-3.73488547e-10,1.70436208e-07,8.14608828e-06,0.94,9.68131273e-07
85.5,-4.33366783e-10,2.09399580e-07,9.28690005e-06,0.94,1.21724813e-06
86.5,-4.84412766e-10,2.36665683e-07,1.09788284e-05,0.94,1.44126953e-06
87.5,-4.83254202e-10,2.68350608e-07,1.39973835e-05,0.94,1.85920378e-06
88.5,-6.21282703e-10,3.37561898e-07,1.45738166e-05,0.94,2.27765383e-06
89.5,-6.68966301e-10,3.86462205e-07,1.63709915e-05,0.93,2.80715372e-06
90.5,-9.40447671e-10,4.91524881e-07,1.81668436e-05,0.93,3.38519060e-06
91.5,-7.89804624e-10,4.23827993e-07,1.56806295e-05,0.94,2.81369582e-06
92.5,-2.51717440e-10,1.25207391e-07,7.46452895e-06,0.95,7.21226067e-07
93.5,-2.52576412e-10,1.27365730e-07,7.86103295e-06,0.95,7.08295267e-07
94.5,-1.68630601e-10,8.97996451e-08,6.01452925e-06,0.95,5.30470738e-07
95.5,-1.71120327e-10,8.22690427e-08,4.20933726e-06,0.95,4.36420483e-07
96.5,-1.16976002e-10,5.79214134e-08,3.16068207e-06,0.95,3.17857028e-07
97.5,-9.42103907e-10,7.84156346e-07,6.35681772e-05,0.89,9.05302834e-06
98.5,-1.74979936e-10,9.39505851e-08,8.37957920e-06,0.94,6.18586716e-07
99.5,-3.06874683e-10,1.63261897e-07,1.00132945e-05,0.95,9.92576035e-07
100.5,-2.08354284e-10,1.12300476e-07,1.82943275e-06,0.95,6.70876385e-07
101.5,-2.22515562e-10,1.04514427e-07,5.86589870e-06,0.95,5.33557018e-07
102.5,-1.34390246e-09,8.98461854e-07,3.81054263e-05,0.92,7.66619612e-06
103.5,-1.01901721e-09,6.79827099e-07,4.51530159e-05,0.94,5.22679531e-06
104.5,-4.18859821e-10,1.89817197e-07,3.18890523e-06,0.95,9.38122529e-07
105.5,-2.54275033e-10,1.20088332e-07,6.60009868e-06,0.96,5.89125254e-07
106.5,-2.43809593e-10,1.18160635e-07,7.74794070e-06,0.96,5.90449142e-07
107.5,-2.33163874e-10,1.20516330e-07,9.87441885e-06,0.95,6.87291920e-07
108.5,-3.69477413e-10,2.17542411e-07,1.10904940e-05,0.96,1.26819431e-06
109.5,-2.81707873e-10,1.45887138e-07,9.82531461e-06,0.95,7.99552250e-07
110.5,-9.10934796e-11,1.04423228e-07,1.44644224e-05,0.92,1.08652364e-06
111.5,-1.66854605e-10,1.18197160e-07,1.27341149e-05,0.95,8.46551633e-07
112.5,-1.97256040e-10,1.22023811e-07,1.39870362e-05,0.95,8.24895534e-07
113.5,-1.84532308e-10,1.04923564e-07,7.42101884e-06,0.95,6.63927760e-07
114.5,-1.82255068e-10,1.00964734e-07,1.09676338e-05,0.95,5.83301149e-07
115.5,-1.79977830e-10,9.70059057e-08,1.45142487e-05,0.95,5.79507535e-07
116.5,-1.14063699e-10,6.14789756e-08,2.11095772e-05,0.95,3.67271760e-07
117.5,-1.19813939e-09,5.28441463e-07,5.22879409e-05,0.95,2.46827715e-06
118.5,-3.17606335e-10,1.43250820e-07,2.42879319e-05,0.95,6.91404625e-07
119.5,-5.07968379e-10,2.73788903e-07,3.79524397e-05,0.95,1.63559867e-06
120.5,-3.91694650e-09,1.76667070e-06,4.67276673e-05,0.95,8.52689227e-06
121.5,-2.10473407e-08,3.12348452e-05,4.59160841e-03,0.91,3.68717499e-04
122.5,-9.24069369e-10,4.16785440e-07,4.09787537e-05,0.95,2.01162816e-06
123.5,-6.22067015e-10,2.80572523e-07,2.53756139e-05,0.95,1.35419220e-06
124.5,-4.72854326e-10,2.13272731e-07,1.79398692e-05,0.95,1.02936761e-06
125.5,-2.37088928e-10,1.27788104e-07,2.05651276e-05,0.95,7.63398559e-07
126.5,-7.26808556e-10,3.27814376e-07,1.76920985e-05,0.95,1.58220650e-06
127.5,-1.57815999e-10,8.50609426e-08,1.52935833e-05,0.95,5.08149030e-07
128.5,-1.17377545e-10,6.32650980e-08,1.23296767e-05,0.95,3.77941945e-07
129.5,-5.73834119e-11,7.57079693e-08,1.75886126e-05,0.93,7.63296694e-07
130.5,-1.24053248e-09,5.70638506e-07,1.20965081e-04,0.91,4.16222369e-06
131.5,-2.12721218e-10,9.61118248e-08,1.95150657e-05,0.91,6.62435421e-07
132.5,-1.07001857e-10,6.29334120e-08,1.62571838e-05,0.90,5.67873985e-07
133.5,-8.94382834e-10,8.71939234e-07,1.31975911e-04,0.94,7.54203153e-06
134.5,-8.35494200e-11,6.28665121e-08,1.35754292e-05,0.88,7.29144198e-07
135.5,-1.25088026e-10,8.54845405e-08,3.77824430e-05,0.90,8.81264590e-07
136.5,-9.79967900e-11,7.22954986e-08,2.10731394e-05,0.90,7.68205303e-07
137.5,-1.24013546e-10,7.97949440e-08,2.37165611e-05,0.91,7.11357554e-07
138.5,-7.39876006e-11,5.55570063e-08,2.54832371e-05,0.87,6.99090195e-07
139.5,-9.49205508e-10,4.89958571e-07,4.33705249e-05,0.96,2.54613277e-06
140.5,-5.67937224e-10,3.05432744e-07,4.62582464e-05,0.95,1.88073609e-06
141.5,-2.43621952e-10,1.13736869e-07,3.27628394e-05,0.90,8.95784614e-07
142.5,-1.95955912e-10,1.01825495e-07,3.75119030e-05,0.83,1.18926525e-06
143.5,-2.46624207e-10,1.15175318e-07,4.23845795e-05,0.88,1.00877166e-06
144.5,-1.61278923e-10,8.93582633e-08,4.38438448e-05,0.86,9.81989792e-07
145.5,-2.75726953e-10,1.38512452e-07,4.32208222e-05,0.89,1.19372564e-06
146.5,-2.43757781e-10,1.36559581e-07,5.45324615e-05,0.89,1.27366067e-06
147.5,-2.46147842e-10,1.39066818e-07,7.11427892e-05,0.89,1.35250470e-06
148.5,-3.12927956e-10,1.56053330e-07,7.20397030e-05,0.87,1.51332205e-06
149.5,-2.31230729e-10,1.24944106e-07,6.58375866e-05,0.83,1.51364906e-06
150.5,-2.43791216e-10,1.21205065e-07,7.57760769e-05,0.80,1.52268475e-06
151.5,-1.94987017e-10,1.16236962e-07,8.38650446e-05,0.80,1.65675848e-06
152.5,-4.33361801e-10,2.37558655e-07,9.63535070e-05,0.91,2.01495486e-06
153.5,-1.73871412e-10,1.71988954e-07,1.12191003e-04,0.88,2.21903105e-06
154.5,-1.16988909e-09,6.16487236e-07,1.70987119e-04,0.93,4.36900801e-06
155.5,-2.55020760e-10,2.92214578e-07,1.64242591e-04,0.92,3.20494890e-06
156.5,-4.53027932e-10,2.51428725e-07,1.68458783e-04,0.85,2.85808410e-06
157.5,-1.72784194e-10,1.48582781e-07,1.57486859e-04,0.77,2.79008511e-06
158.5,-2.29772147e-10,1.46877406e-07,1.54423418e-04,0.74,2.69140338e-06
159.5,-9.39400590e-11,1.10698536e-07,1.54968996e-04,0.73,2.59598688e-06
160.5,-8.39077851e-11,1.26638098e-07,1.71073746e-04,0.77,2.80522066e-06
161.5,-1.98721268e-10,1.37610016e-07,2.05647262e-04,0.65,3.39322701e-06
162.5,-4.73652596e-10,2.82618134e-07,2.23170447e-04,0.82,3.76275218e-06
163.5,-1.55191039e-10,2.30331717e-07,2.39080251e-04,0.83,4.07902394e-06
164.5,-4.04165128e-10,3.37772150e-07,2.81318936e-04,0.86,4.56771102e-06
165.5,-7.73823055e-12,2.97227900e-07,4.63250839e-04,0.76,7.93202201e-06
166.5,4.07530120e-11,8.57496540e-08,3.29404588e-04,0.51,5.05815432e-06
167.5,-2.04674881e-10,3.39319234e-07,3.67674446e-04,0.81,6.73876290e-06
168.5,-4.43360209e-10,2.79935936e-07,4.04891772e-04,0.66,6.38829474e-06
169.5,1.21153174e-10,2.01744392e-07,5.46199225e-04,0.64,8.70736220e-06
170.5,-5.85190609e-10,4.32779772e-07,6.13206686e-04,0.68,1.01094842e-05
171.5,-5.06522331e-10,4.47020613e-07,6.17992427e-04,0.70,1.06043009e-05
172.5,-3.24768827e-10,3.72615949e-07,6.98235220e-04,0.60,1.23238287e-05
173.5,5.76888817e-11,2.79814116e-07,6.97522794e-04,0.61,1.18627791e-05
174.5,-1.17218795e-10,3.92089797e-07,8.58418577e-04,0.61,1.50705494e-05
175.5,-1.37607193e-10,5.06896902e-07,1.04781557e-03,0.60,1.97468460e-05
176.5,-8.96657609e-10,6.78269058e-07,1.12910891e-03,0.59,2.01888857e-05
177.5,1.32627992e-09,1.79727927e-07,1.42010797e-03,0.47,2.90878237e-05
178.5,1.98167580e-09,8.00937083e-08,1.59925973e-03,0.48,3.18302836e-05
179.5,1.18969584e-09,3.52847586e-07,1.62399680e-03,0.54,3.13644235e-05
180.5,-1.61188575e-09,1.46962414e-06,2.01940644e-03,0.62,4.36405768e-05
181.5,-3.61654690e-09,2.50708549e-06,2.31968020e-03,0.66,5.98817371e-05
182.5,1.44002194e-10,8.58952566e-07,2.34991118e-03,0.46,5.34544458e-05
183.5,-5.43430484e-10,9.53841592e-07,2.52448745e-03,0.45,5.15037308e-05
184.5,-1.30322879e-09,9.76484389e-07,2.20300301e-03,0.47,3.95649715e-05
185.5,-1.62506964e-09,1.13882183e-06,2.50603519e-03,0.44,4.83075423e-05
186.5,-1.89245396e-09,1.37388136e-06,2.88406355e-03,0.44,5.91202561e-05
187.5,6.84720021e-10,6.10050906e-07,3.29718092e-03,0.35,6.56653209e-05
188.5,1.53237630e-09,8.38490308e-07,3.18211645e-03,0.46,7.35219971e-05
189.5,7.23049173e-09,-4.24163156e-07,2.42571457e-03,0.51,6.85476734e-05
